Algorithm,Array Size,Repetition,Elem 1,Elem 1 Time (ns),Elem 1 Iterations,Elem 2,Elem 2 Time (ns),Elem 2 Iterations,Elem 3,Elem 3 Time (ns),Elem 3 Iterations,Avg (ns)
Binary Search,10,1,2,415,3,5,167,4,7,98,3,226.667
Binary Search,10,2,2,124,3,5,115,4,7,75,3,104.667
Binary Search,10,3,2,80,3,5,86,4,7,78,3,81.3333
Binary Search,10,4,2,80,3,5,87,4,7,78,3,81.6667
Binary Search,10,5,2,80,3,5,87,4,7,78,3,81.6667
Binary Search,100,1,3,169,5,229,105,1,523,153,3,142.333
Binary Search,100,2,3,156,5,229,101,1,523,104,3,120.333
Binary Search,100,3,3,106,5,229,56,1,523,75,3,79
Binary Search,100,4,3,104,5,229,56,1,523,75,3,78.3333
Binary Search,100,5,3,104,5,229,56,1,523,75,3,78.3333
Binary Search,1000,1,3,211,8,3571,54,1,7907,134,3,133
Binary Search,1000,2,3,136,8,3571,51,1,7907,80,3,89
Binary Search,1000,3,3,144,8,3571,54,1,7907,78,3,92
Binary Search,1000,4,3,146,8,3571,52,1,7907,78,3,92
Binary Search,1000,5,3,145,8,3571,52,1,7907,80,3,92.3333
Binary Search,10000,1,3,373,13,48611,60,1,104723,96,3,176.333
Binary Search,10000,2,3,231,13,48611,51,1,104723,70,3,117.333
Binary Search,10000,3,3,262,13,48611,51,1,104723,76,3,129.667
Binary Search,10000,4,3,260,13,48611,52,1,104723,75,3,129
Binary Search,10000,5,3,200,13,48611,52,1,104723,75,3,109
Binary Search,100000,1,3,320,15,611953,57,1,1299689,122,3,166.333
Binary Search,100000,2,3,282,15,611953,51,1,1299689,77,3,136.667
Binary Search,100000,3,3,254,15,611953,51,1,1299689,75,3,126.667
Binary Search,100000,4,3,253,15,611953,51,1,1299689,78,3,127.333
Binary Search,100000,5,3,256,15,611953,52,1,1299689,78,3,128.667
Binary Search,250000,1,3,664,16,1655131,52,1,3497849,92,3,269.333
Binary Search,250000,2,3,269,16,1655131,57,1,3497849,76,3,134
Binary Search,250000,3,3,267,16,1655131,51,1,3497849,76,3,131.333
Binary Search,250000,4,3,267,16,1655131,51,1,3497849,75,3,131
Binary Search,250000,5,3,265,16,1655131,52,1,3497849,78,3,131.667
Linear Search,10,1,2,78,1,5,145,3,7,131,4,118
Linear Search,10,2,2,76,1,5,78,3,7,61,4,71.6667
Linear Search,10,3,2,55,1,5,51,3,7,62,4,56
