Algorithm,Repetition,List10.txt Time(ns),List10.txt Iterations,List100.txt Time(ns),List100.txt Iterations,List1000.txt Time(ns),List1000.txt Iterations,List10000.txt Times(ns),List10000.txt Iterations,List100000.txt Time(ns),List100000.txt Iterations,List250000.txt Times(ns),List250000.txt Iterations,Avg Time(ns)
Selection Sort,1,1,45,25,4950,1859,499500,125390,49995000,11319055,704982704,71291056,1185103928,1.37896e+07
Selection Sort,2,0,45,15,4950,1192,499500,114086,49995000,11351545,704982704,71905057,1185103928,1.38953e+07
Selection Sort,3,0,45,16,4950,1274,499500,114526,49995000,11719170,704982704,72356533,1185103928,1.40319e+07
Selection Sort,4,0,45,16,4950,1198,499500,119259,49995000,11505399,704982704,72156614,1185103928,1.39637e+07
Selection Sort,5,0,45,16,4950,1198,499500,116041,49995000,11418310,704982704,72059250,1185103928,1.39325e+07
Heap Sort,1,1297,34,15722,631,238246,9596,3265225,129333,42488408,1649005,117119411,4387402,2.71881e+07
Heap Sort,2,1054,34,15567,631,234804,9596,3293648,129333,43487540,1649005,117735257,4387402,2.74613e+07
Heap Sort,3,1097,34,17083,631,279385,9596,3220272,129333,42655127,1649005,116515220,4387402,2.71147e+07
Heap Sort,4,1035,34,16722,631,258846,9596,3288679,129333,42526624,1649005,117221068,4387402,2.72188e+07
Heap Sort,5,982,34,15448,631,235157,9596,3180318,129333,42683615,1649005,121796155,4387402,2.79853e+07
Quick Sort,1,648,7,7328,67,102811,678,1339276,6674,20114393,66586,44948548,167493,1.10855e+07
Quick Sort,2,489,7,6757,67,102664,678,1295387,6674,19644910,66586,45173635,167493,1.10373e+07
Quick Sort,3,460,7,6902,67,102448,678,1292829,6674,19402756,66586,44260613,167493,1.08443e+07
Quick Sort,4,440,7,6869,67,102451,678,1351752,6674,20145036,66586,45366789,167493,1.11622e+07
Quick Sort,5,429,7,6798,67,102153,678,1293125,6674,19880860,66586,44264370,167493,1.09246e+07
